Agent Name,Status,IP Address,Platform,Groups,Version,Last Plugin Update,Last Scanned
0752-LASPOSAS,online,172.18.5.17,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-23T09:00+0000
0752-MALIBU,online,172.18.5.16,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-23T09:00+0000
0752-MOJAVE,online,172.17.5.128,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-23T09:00+0000
0873-ADMT,online,172.17.5.57,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-23T09:00+0000
0873-ANTMAN,online,172.17.6.105,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-23T09:00+0000
0873-BANNER,offline,160.107.242.251,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-15T09:00+0000
0873-BEAST,online,172.17.6.3,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-23T09:00+0000
0873-BLACKWIDOW,online,172.17.6.117,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-23T09:00+0000
0873-BLKPANTHER,online,172.17.6.104,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-23T09:00+0000
0873-BOBBIMORSE,online,172.18.9.12,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-23T09:00+0000
0873-BUCKY,offline,172.17.6.25,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-15T09:00+0000
0873-CABLE,online,172.17.9.13,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-23T09:00+0000
0873-CANNONBALL,offline,172.17.9.14,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-15T09:00+0000
0873-CARNAGE,online,172.17.6.54,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-23T09:00+0000
0873-CEREBRO,online,172.17.6.6,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-23T09:00+0000
0873-CHLOE,online,172.18.9.10,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-23T09:00+0000
0873-CHYNAE,online,172.17.25.26,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-23T09:00+0000
0873-CL-ORION,online,172.17.5.101,WINDOWS (win-x86-64),Headend (873/905),7.3.2,2019-04-25T14:42+0000,2019-05-23T09:00+0000
